open_time,open,high,low,close,volume,n_trades
2023-06-07 10:15:00+00:00,271.6,272.12,270.17,272.1,62793.4,24099
2023-06-07 10:30:00+00:00,272.09,273.14,271.24,273.12,47884.61,17804
2023-06-07 10:45:00+00:00,273.12,273.46,272.17,272.38,24395.75,10591
2023-06-07 11:00:00+00:00,272.38,273.67,272.29,273.36,26834.45,10600
2023-06-07 11:15:00+00:00,273.36,275.28,272.84,274.0,48633.21,18485
2023-06-07 11:30:00+00:00,274.0,276.12,273.9,274.38,51731.04,20180
2023-06-07 11:45:00+00:00,274.39,274.5,274.01,274.46,18975.63,7344
2023-06-07 12:00:00+00:00,274.46,274.66,272.64,272.84,29011.56,13951
2023-06-07 12:15:00+00:00,272.83,272.98,272.07,272.73,20260.89,9110
2023-06-07 12:30:00+00:00,272.72,272.99,272.21,272.87,20103.23,7839
2023-06-07 12:45:00+00:00,272.87,272.88,271.0,271.4,28729.79,12570
2023-06-07 13:00:00+00:00,271.39,271.87,270.3,270.47,33057.78,13938
2023-06-07 13:15:00+00:00,270.47,271.12,269.52,269.84,31824.93,13197
2023-06-07 13:30:00+00:00,269.84,270.78,268.1,268.57,68439.84,23611
2023-06-07 13:45:00+00:00,268.57,269.82,266.88,269.28,75199.34,28201
2023-06-07 14:00:00+00:00,269.27,269.28,265.65,265.71,75420.57,29216
2023-06-07 14:15:00+00:00,265.7,266.65,261.3,262.61,223026.21,75839
2023-06-07 14:30:00+00:00,262.62,262.64,256.0,260.45,381564.22,120019
2023-06-07 14:45:00+00:00,260.45,260.54,253.39,256.43,284202.69,91394
2023-06-07 15:00:00+00:00,256.44,261.88,255.01,260.72,225146.75,69449
2023-06-07 15:15:00+00:00,260.71,260.71,257.48,259.47,135223.46,43583
2023-06-07 15:30:00+00:00,259.47,261.74,257.7,258.44,131121.91,43763
2023-06-07 15:45:00+00:00,258.45,260.37,258.13,258.91,85704.81,30193
2023-06-07 16:00:00+00:00,258.91,258.91,255.4,255.52,131438.28,44704
2023-06-07 16:15:00+00:00,255.52,258.75,255.03,257.26,97493.18,35431
2023-06-07 16:30:00+00:00,257.25,259.75,256.59,259.72,79249.81,28484
2023-06-07 16:45:00+00:00,259.72,260.94,259.11,259.12,56268.22,21255
2023-06-07 17:00:00+00:00,259.11,259.49,257.56,258.72,38140.89,17384
2023-06-07 17:15:00+00:00,258.73,260.84,258.72,260.66,61796.39,20274
2023-06-07 17:30:00+00:00,260.66,262.61,260.3,261.54,59890.09,22534
2023-06-07 17:45:00+00:00,261.53,264.03,261.01,262.94,73293.75,26318
2023-06-07 18:00:00+00:00,262.94,262.99,261.01,262.18,52013.78,18026
2023-06-07 18:15:00+00:00,262.18,262.28,261.0,261.23,19478.99,8154
2023-06-07 18:30:00+00:00,261.23,261.9,260.56,261.53,27561.93,11210
2023-06-07 18:45:00+00:00,261.54,261.54,260.26,260.42,20289.49,8684
2023-06-07 19:00:00+00:00,260.41,261.09,259.72,260.84,27616.29,11547
2023-06-07 19:15:00+00:00,260.84,261.28,260.26,260.68,14956.4,7022
2023-06-07 19:30:00+00:00,260.68,261.2,260.2,261.03,16682.82,6916
2023-06-07 19:45:00+00:00,261.04,261.38,260.46,260.9,16727.94,7446
2023-06-07 20:00:00+00:00,260.9,261.2,259.58,259.75,17859.21,8773
2023-06-07 20:15:00+00:00,259.74,260.27,259.26,259.59,24322.68,9258
2023-06-07 20:30:00+00:00,259.59,260.93,259.53,259.79,21281.05,8426
2023-06-07 20:45:00+00:00,259.79,260.32,259.76,259.94,9811.02,4852
2023-06-07 21:00:00+00:00,259.94,260.7,258.92,260.18,21066.05,9772
2023-06-07 21:15:00+00:00,260.18,260.64,259.95,260.49,10804.11,5226
2023-06-07 21:30:00+00:00,260.49,260.83,259.11,259.45,15548.26,7076
2023-06-07 21:45:00+00:00,259.45,259.68,257.25,257.51,39016.1,15521
2023-06-07 22:00:00+00:00,257.5,259.75,257.29,259.47,39808.47,15617
2023-06-07 22:15:00+00:00,259.47,259.78,258.68,258.75,19937.1,6783
2023-06-07 22:30:00+00:00,258.74,258.97,257.5,257.6,28344.17,9504
2023-06-07 22:45:00+00:00,257.6,258.26,257.58,258.16,12651.45,4937
2023-06-07 23:00:00+00:00,258.15,258.86,257.47,257.73,19074.12,7241
2023-06-07 23:15:00+00:00,257.73,258.83,257.73,258.52,13231.94,5029
2023-06-07 23:30:00+00:00,258.52,259.58,258.4,259.5,18456.62,6289
2023-06-07 23:45:00+00:00,259.49,259.75,259.17,259.22,10644.43,4450
2023-06-08 00:00:00+00:00,259.21,259.32,258.3,258.43,21577.29,8231
2023-06-08 00:15:00+00:00,258.44,259.45,258.27,259.37,15500.96,5886
2023-06-08 00:30:00+00:00,259.37,260.56,259.37,259.89,18745.99,8158
2023-06-08 00:45:00+00:00,259.89,260.42,259.6,260.12,12083.81,5064
2023-06-08 01:00:00+00:00,260.11,262.97,259.95,262.92,40977.14,15348
2023-06-08 01:15:00+00:00,262.93,262.99,261.52,262.34,29948.38,10475
2023-06-08 01:30:00+00:00,262.34,262.48,261.71,262.16,19074.85,6612
2023-06-08 01:45:00+00:00,262.17,262.47,261.72,262.43,13999.58,5384
2023-06-08 02:00:00+00:00,262.43,262.62,260.82,261.14,23727.49,8152
