low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.2,0.95,0.55,705,603,102,0.42682036681023544,1.1853096313594218,0.42682036681023544
0.2,0.95,0.6,705,603,102,0.41375383965498436,1.2008338349538814,0.41375383965498436
0.2,0.975,0.4,667,568,99,0.3907775265066338,0.6582118547190078,0.3907775265066338
0.2,0.975,0.45,667,568,99,0.380185498531833,0.7352179093746948,0.380185498531833
0.2,0.975,0.5,667,568,99,0.3507569398495474,0.8328376071920214,0.3507569398495474
0.2,0.975,0.55,667,568,99,0.4156659699690657,1.0688648550092164,0.4156659699690657
0.2,0.975,0.6,667,568,99,0.421439995548723,1.0846759144258138,0.421439995548723
0.2,0.99,0.4,641,544,97,0.35099565074808686,0.27474281112503335,0.27474281112503335
0.2,0.99,0.45,641,544,97,0.340424424825083,0.33845992018042675,0.33845992018042675
0.2,0.99,0.5,641,544,97,0.3164861589513585,0.44015459623013214,0.3164861589513585
0.2,0.99,0.55,641,544,97,0.38264609158666,0.6976247271638546,0.38264609158666
0.2,0.99,0.6,641,544,97,0.3854490668361825,0.7388806299981767,0.3854490668361825
0.3,0.7,0.4,1310,1105,205,0.47238217594159515,0.8962669670825295,0.47238217594159515
0.3,0.7,0.45,1308,1104,204,0.3989275959372646,0.7654174245077463,0.3989275959372646
0.3,0.7,0.5,1309,1105,204,0.3280401507860555,0.9652378879902926,0.3280401507860555
0.3,0.7,0.55,1310,1106,204,0.42189371673850407,0.820575569133016,0.42189371673850407
0.3,0.7,0.6,1317,1113,204,0.4279861608766075,0.9080804154093337,0.4279861608766075
0.3,0.8,0.4,1140,964,176,0.4742579308038774,0.8300663498470289,0.4742579308038774
0.3,0.8,0.45,1138,963,175,0.42162276183832903,0.8013354512339056,0.42162276183832903
0.3,0.8,0.5,1138,963,175,0.37618603924550964,0.8156510402642041,0.37618603924550964
0.3,0.8,0.55,1139,964,175,0.4422119345729074,0.8161576815685341,0.4422119345729074
0.3,0.8,0.6,1139,964,175,0.43666351250256064,0.935810791758866,0.43666351250256064
0.3,0.9,0.4,941,793,148,0.5921762975114722,0.9692454823022245,0.5921762975114722
0.3,0.9,0.45,939,792,147,0.5264629756867447,1.0682965243992257,0.5264629756867447
0.3,0.9,0.5,938,791,147,0.5139116301538371,1.2228910183186297,0.5139116301538371
0.3,0.9,0.55,938,791,147,0.5903113895307632,1.3761100594841302,0.5903113895307632
0.3,0.9,0.6,938,791,147,0.5646421929982467,1.3104240121530117,0.5646421929982467
0.3,0.92,0.4,905,763,142,0.8124151798589487,0.6559748648984736,0.6559748648984736
0.3,0.92,0.45,903,762,141,0.7561739918186056,0.7322431037082086,0.7322431037082086
0.3,0.92,0.5,902,761,141,0.7230848137274416,0.8834458957209589,0.7230848137274416
0.3,0.92,0.55,902,761,141,0.7922038952013958,1.1134664765942137,0.7922038952013958
0.3,0.92,0.6,902,761,141,0.7543096349287847,1.0113588506222155,0.7543096349287847
0.3,0.95,0.4,852,721,131,0.5548170440544028,0.24936973803688606,0.24936973803688606
0.3,0.95,0.45,850,720,130,0.5064644649159148,0.3849376888761841,0.3849376888761841
0.3,0.95,0.5,849,719,130,0.470019737420143,0.5168119420634592,0.470019737420143
0.3,0.95,0.55,849,719,130,0.5366486247651607,0.7073158752390505,0.5366486247651607
0.3,0.95,0.6,849,719,130,0.5265676818268361,0.6540744472292928,0.5265676818268361
0.3,0.975,0.4,814,686,128,0.5652139703343136,0.1282629103456614,0.1282629103456614
0.3,0.975,0.45,812,685,127,0.5315933664532291,0.25174096355880526,0.25174096355880526
0.3,0.975,0.5,811,684,127,0.4747446184540407,0.39614861279825625,0.39614861279825625
0.3,0.975,0.55,811,684,127,0.5299685345507106,0.5739005115883001,0.5299685345507106
0.3,0.975,0.6,811,684,127,0.5373003882745995,0.5221461261707603,0.5221461261707603
0.3,0.99,0.4,788,662,126,0.51811081198688,-0.2554457274315717,-0.2554457274315717
0.3,0.99,0.45,786,661,125,0.4865680801154164,-0.1408899370155452,-0.1408899370155452
0.3,0.99,0.5,785,660,125,0.4362422988264834,0.008823515320080933,0.008823515320080933
0.3,0.99,0.55,785,660,125,0.49313277402529787,0.2030825615507331,0.2030825615507331
0.3,0.99,0.6,785,660,125,0.49857465468713136,0.17478619618732244,0.17478619618732244
