low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,20.0,0.02,100,1500,150,1192,1007,185,-0.3297642087072721,-0.153429439475728,-0.3297642087072721
0.3,0.92,0.55,20.0,0.02,100,1500,300,1115,939,176,-0.42687047960379815,-0.19008506958473328,-0.42687047960379815
0.3,0.92,0.55,20.0,0.02,100,2500,150,1134,957,177,0.0717165111140518,-0.6325943342792446,-0.6325943342792446
0.3,0.92,0.55,20.0,0.02,100,2500,300,1042,876,166,-0.2736252507467383,-0.7756117933883326,-0.7756117933883326
0.3,0.92,0.55,20.0,0.02,200,750,150,976,835,141,0.3531131436826532,0.8686738370863047,0.3531131436826532
0.3,0.92,0.55,20.0,0.02,200,750,300,850,726,124,0.039634875214279615,0.799082614204637,0.039634875214279615
0.3,0.92,0.55,20.0,0.02,200,1500,150,875,734,141,-0.13644709261094481,1.1846044003037857,-0.13644709261094481
0.3,0.92,0.55,20.0,0.02,200,1500,300,752,628,124,-0.33941461595358363,1.046848373794567,-0.33941461595358363
0.3,0.92,0.55,20.0,0.02,200,2500,150,850,710,140,-0.09381284020838104,0.9668237687018195,-0.09381284020838104
0.3,0.92,0.55,20.0,0.02,200,2500,300,719,596,123,-0.2643424241072132,0.775640723362208,-0.2643424241072132
0.3,0.92,0.55,20.0,0.02,400,750,150,860,729,131,-0.039964474632294154,1.1687698523657026,-0.039964474632294154
0.3,0.92,0.55,20.0,0.02,400,750,300,675,582,93,0.26078764105572994,1.5117172606607259,0.26078764105572994
0.3,0.92,0.55,20.0,0.02,400,1500,150,735,631,104,0.7728252744151667,1.352308026575501,0.7728252744151667
0.3,0.92,0.55,20.0,0.02,400,1500,300,545,473,72,0.7979536989323767,1.8844604533385503,0.7979536989323767
0.3,0.92,0.55,20.0,0.02,400,2500,150,701,601,100,0.8262153157427532,0.3237219501762811,0.3237219501762811
0.3,0.92,0.55,20.0,0.02,400,2500,300,513,442,71,0.9696213641470994,0.2718673798436442,0.2718673798436442
0.3,0.92,0.55,20.0,0.02,500,750,150,861,733,128,0.5162848244684503,1.1569970088712158,0.5162848244684503
0.3,0.92,0.55,20.0,0.02,500,750,300,636,546,90,0.7605600572398279,1.6780255983817127,0.7605600572398279
0.3,0.92,0.55,20.0,0.02,500,1500,150,726,617,109,0.6035147636659488,2.2862332206563574,0.6035147636659488
0.3,0.92,0.55,20.0,0.02,500,1500,300,533,454,79,0.5918396995238552,1.9247521357554167,0.5918396995238552
0.3,0.92,0.55,20.0,0.02,500,2500,150,688,592,96,0.9828597584555037,1.5324363514069368,0.9828597584555037
0.3,0.92,0.55,20.0,0.02,500,2500,300,488,421,67,0.8815241432982994,1.014202596403877,0.8815241432982994
0.3,0.92,0.55,20.0,0.03,100,750,150,1266,1073,193,-0.16486383644731203,-0.48493009931170444,-0.48493009931170444
0.3,0.92,0.55,20.0,0.03,100,750,300,1182,999,183,-0.129922474962192,-0.5690232524457945,-0.5690232524457945
0.3,0.92,0.55,20.0,0.03,100,1500,150,1177,992,185,-0.30976462618553136,-0.1810836082501792,-0.30976462618553136
0.3,0.92,0.55,20.0,0.03,100,1500,300,1100,924,176,-0.5165319460062631,-0.1901480182234739,-0.5165319460062631
0.3,0.92,0.55,20.0,0.03,100,2500,150,1120,943,177,0.4084092397945697,-0.7087991684109176,-0.7087991684109176
0.3,0.92,0.55,20.0,0.03,100,2500,300,1028,862,166,-0.527337408154424,-0.8756093150298889,-0.8756093150298889
0.3,0.92,0.55,20.0,0.03,200,750,150,948,808,140,0.3257319732244596,0.5063380039334548,0.3257319732244596
0.3,0.92,0.55,20.0,0.03,200,750,300,807,684,123,-0.39057167988232766,0.5384383945483654,-0.39057167988232766
0.3,0.92,0.55,20.0,0.03,200,1500,150,854,713,141,-0.21111851025969816,0.7153313108749528,-0.21111851025969816
0.3,0.92,0.55,20.0,0.03,200,1500,300,722,598,124,-0.3878419938819988,0.590149937158406,-0.3878419938819988
0.3,0.92,0.55,20.0,0.03,200,2500,150,831,691,140,-0.0733170157752872,0.7337467311240712,-0.0733170157752872
0.3,0.92,0.55,20.0,0.03,200,2500,300,694,571,123,-0.17397954083985548,0.5692614567979749,-0.17397954083985548
0.3,0.92,0.55,20.0,0.03,400,750,150,838,708,130,0.10058303914726827,1.2051638458727612,0.10058303914726827
0.3,0.92,0.55,20.0,0.03,400,750,300,641,550,91,0.2864062644825546,1.6911032236738517,0.2864062644825546
0.3,0.92,0.55,20.0,0.03,400,1500,150,716,612,104,0.862875112201577,1.3251736569285604,0.862875112201577
0.3,0.92,0.55,20.0,0.03,400,1500,300,522,450,72,0.7230440802410519,1.815561553614517,0.7230440802410519
0.3,0.92,0.55,20.0,0.03,400,2500,150,680,581,99,0.757735469811728,0.5252056516788917,0.5252056516788917
0.3,0.92,0.55,20.0,0.03,400,2500,300,496,426,70,0.8186656138261321,0.3979227718573987,0.3979227718573987
0.3,0.92,0.55,20.0,0.03,500,750,150,838,712,126,0.37135695170717714,1.2323773064710681,0.37135695170717714
0.3,0.92,0.55,20.0,0.03,500,750,300,612,523,89,0.5751663256864652,1.9796271181981664,0.5751663256864652
0.3,0.92,0.55,20.0,0.03,500,1500,150,702,594,108,0.6819375753275831,2.801000427174159,0.6819375753275831
0.3,0.92,0.55,20.0,0.03,500,1500,300,506,429,77,0.7158294191400261,2.7820711186897915,0.7158294191400261
0.3,0.92,0.55,20.0,0.03,500,2500,150,664,568,96,0.9779899154062932,1.907220966724647,0.9779899154062932
0.3,0.92,0.55,20.0,0.03,500,2500,300,466,401,65,0.8495976006384046,1.8397224231465217,0.8495976006384046
0.3,0.92,0.55,20.0,0.05,100,750,150,1259,1067,192,-0.21744848655765317,-0.4403725511511636,-0.4403725511511636
0.3,0.92,0.55,20.0,0.05,100,750,300,1169,987,182,0.37932947136057055,-0.524156772696102,-0.524156772696102
0.3,0.92,0.55,20.0,0.05,100,1500,150,1170,986,184,0.11146887444172998,-0.13924378065217993,-0.13924378065217993
0.3,0.92,0.55,20.0,0.05,100,1500,300,1089,914,175,-0.24330952578738071,-0.14813677785289178,-0.24330952578738071
0.3,0.92,0.55,20.0,0.05,100,2500,150,1113,937,176,0.39045107573338267,-0.7992583021940395,-0.7992583021940395
