low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,20.0,0.05,400,2500,150,663,564,99,0.863924413673011,0.38790161538805784,0.38790161538805784
0.3,0.92,0.55,20.0,0.05,400,2500,300,475,405,70,0.8797088765558254,0.2546512922384138,0.2546512922384138
0.3,0.92,0.55,20.0,0.05,500,750,150,823,697,126,0.6157587468121525,1.0083350330336975,0.6157587468121525
0.3,0.92,0.55,20.0,0.05,500,750,300,585,497,88,0.7221698401751764,2.132471747030516,0.7221698401751764
0.3,0.92,0.55,20.0,0.05,500,1500,150,689,581,108,0.8162034014995099,2.801000427174159,0.8162034014995099
0.3,0.92,0.55,20.0,0.05,500,1500,300,489,412,77,0.7698856101396361,2.7820711186897915,0.7698856101396361
0.3,0.92,0.55,20.0,0.05,500,2500,150,657,561,96,1.1223852246846762,1.907220966724647,1.1223852246846762
0.3,0.92,0.55,20.0,0.05,500,2500,300,453,388,65,0.93941613067577,1.8846351943667297,0.93941613067577
0.3,0.92,0.55,25.0,0.01,100,750,150,1635,1387,248,0.5650525274553722,-0.08589910760992808,-0.08589910760992808
0.3,0.92,0.55,25.0,0.01,100,750,300,1548,1310,238,-0.062315973707489564,-0.05872284400589417,-0.062315973707489564
0.3,0.92,0.55,25.0,0.01,100,1500,150,1516,1281,235,-0.3798831185380904,0.7594966475080993,-0.3798831185380904
0.3,0.92,0.55,25.0,0.01,100,1500,300,1430,1206,224,-0.44351296381289507,0.8125479617296152,-0.44351296381289507
0.3,0.92,0.55,25.0,0.01,100,2500,150,1478,1248,230,-0.12623565983986132,0.520580148301311,-0.12623565983986132
0.3,0.92,0.55,25.0,0.01,100,2500,300,1371,1154,217,-0.09671902049414667,0.4354016772289887,-0.09671902049414667
0.3,0.92,0.55,25.0,0.01,200,750,150,1252,1080,172,-0.27671734523755487,0.8768220983436049,-0.27671734523755487
0.3,0.92,0.55,25.0,0.01,200,750,300,1103,949,154,-0.17742446536926246,1.1700643139207505,-0.17742446536926246
0.3,0.92,0.55,25.0,0.01,200,1500,150,1114,946,168,0.0015825696213632471,1.1484163879814089,0.0015825696213632471
0.3,0.92,0.55,25.0,0.01,200,1500,300,965,814,151,0.003489821176342674,0.9866392382629596,0.003489821176342674
0.3,0.92,0.55,25.0,0.01,200,2500,150,1086,923,163,0.06742387444394997,0.9103257497894583,0.06742387444394997
0.3,0.92,0.55,25.0,0.01,200,2500,300,921,777,144,0.21099470927886638,0.9627307412444516,0.21099470927886638
0.3,0.92,0.55,25.0,0.01,400,750,150,1122,967,155,0.03252034384668612,0.950812438829621,0.03252034384668612
0.3,0.92,0.55,25.0,0.01,400,750,300,892,776,116,0.20225624290613758,1.3239994486016429,0.20225624290613758
0.3,0.92,0.55,25.0,0.01,400,1500,150,950,827,123,0.5144638970752704,1.2684497531508538,0.5144638970752704
0.3,0.92,0.55,25.0,0.01,400,1500,300,727,637,90,0.7891095427370007,1.1722710915466608,0.7891095427370007
0.3,0.92,0.55,25.0,0.01,400,2500,150,913,793,120,0.4434907615624604,0.4942098558450808,0.4434907615624604
0.3,0.92,0.55,25.0,0.01,400,2500,300,677,592,85,0.71508596392262,0.35082093198086417,0.35082093198086417
0.3,0.92,0.55,25.0,0.01,500,750,150,1138,978,160,0.2853546168625483,1.5221377369047253,0.2853546168625483
0.3,0.92,0.55,25.0,0.01,500,750,300,853,736,117,0.5795905720060763,1.6521363508286928,0.5795905720060763
0.3,0.92,0.55,25.0,0.01,500,1500,150,933,800,133,0.3762808235246514,2.482126310298654,0.3762808235246514
0.3,0.92,0.55,25.0,0.01,500,1500,300,705,606,99,0.5340646312309573,2.0420205252374677,0.5340646312309573
0.3,0.92,0.55,25.0,0.01,500,2500,150,894,775,119,0.8989207145875576,1.7415873207987107,0.8989207145875576
0.3,0.92,0.55,25.0,0.01,500,2500,300,648,565,83,0.9671165067351516,1.661123160370867,0.9671165067351516
0.3,0.92,0.55,25.0,0.02,100,750,150,1494,1259,235,0.29334926017209373,0.05471265041157255,0.05471265041157255
0.3,0.92,0.55,25.0,0.02,100,750,300,1390,1166,224,-0.6564753519369368,-0.0012167184310985775,-0.6564753519369368
0.3,0.92,0.55,25.0,0.02,100,1500,150,1393,1166,227,0.2482215437002801,0.8736439910693137,0.2482215437002801
0.3,0.92,0.55,25.0,0.02,100,1500,300,1289,1074,215,0.025432426663759777,0.8294318895078805,0.025432426663759777
