low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.025,0.95,0.55,436,360,76,0.2829870508151263,0.5398901385217352,0.2829870508151263
0.025,0.95,0.6,437,361,76,0.23831570083090908,0.790247435910657,0.23831570083090908
0.025,0.975,0.4,377,315,62,0.15068329898318894,0.06699834078475415,0.06699834078475415
0.025,0.975,0.45,376,314,62,0.26266859964304434,0.5214642087753896,0.26266859964304434
0.025,0.975,0.5,379,316,63,0.07553234219959433,0.7652226525560418,0.07553234219959433
0.025,0.975,0.55,378,315,63,0.11410763683297175,0.6698344949003726,0.11410763683297175
0.025,0.975,0.6,379,316,63,-0.028263347379919875,0.7630325939537377,-0.028263347379919875
0.025,0.99,0.4,345,289,56,0.13941164552651095,-0.023795523125395564,-0.023795523125395564
0.025,0.99,0.45,344,288,56,0.27430906364725643,0.41658080974571904,0.27430906364725643
0.025,0.99,0.5,347,290,57,0.10443543417832712,0.751585928209972,0.10443543417832712
0.025,0.99,0.55,346,289,57,0.14230172965785592,0.867673715377319,0.14230172965785592
0.025,0.99,0.6,346,289,57,-0.02436055066942517,0.9810933449299254,-0.02436055066942517
0.05,0.7,0.4,842,712,130,0.5251649070169119,1.0722118694647205,0.5251649070169119
0.05,0.7,0.45,852,720,132,0.5019909983562713,1.2200575695280298,0.5019909983562713
0.05,0.7,0.5,864,730,134,0.3306609059841089,1.3897127628960046,0.3306609059841089
0.05,0.7,0.55,879,742,137,0.3976018951266896,1.4155844087103522,0.3976018951266896
0.05,0.7,0.6,902,761,141,0.37555989094916564,1.2075215892667646,0.37555989094916564
0.05,0.8,0.4,718,602,116,0.5397592596876032,0.3569353802692465,0.3569353802692465
0.05,0.8,0.45,723,606,117,0.5070268156789806,0.546650404440906,0.5070268156789806
0.05,0.8,0.5,734,615,119,0.38586221014955663,0.8541059203366692,0.38586221014955663
0.05,0.8,0.55,740,620,120,0.5154602352969265,0.8204910752338275,0.5154602352969265
0.05,0.8,0.6,749,628,121,0.4742385491351325,1.036467327765192,0.4742385491351325
0.05,0.9,0.4,564,472,92,0.3653532821480792,1.050071064833266,0.3653532821480792
0.05,0.9,0.45,565,473,92,0.47001290539578655,1.2822498602932122,0.47001290539578655
0.05,0.9,0.5,568,475,93,0.3206194570725993,1.4721219701748007,0.3206194570725993
0.05,0.9,0.55,570,477,93,0.27833474536335373,1.552443941098376,0.27833474536335373
0.05,0.9,0.6,570,477,93,0.28852310450447427,1.694839078602387,0.28852310450447427
0.05,0.92,0.4,534,443,91,0.28693297297796666,0.890147785639295,0.28693297297796666
0.05,0.92,0.45,536,445,91,0.3436034460542634,1.1226955376359975,0.3436034460542634
0.05,0.92,0.5,537,445,92,0.19478062247518302,1.3160308596102517,0.19478062247518302
0.05,0.92,0.55,537,445,92,0.2156370513028479,1.3968325500768402,0.2156370513028479
0.05,0.92,0.6,538,446,92,0.2046154744733567,1.5526508480837136,0.2046154744733567
0.05,0.95,0.4,477,395,82,0.273023768825066,0.35447385461533276,0.273023768825066
0.05,0.95,0.45,476,394,82,0.3784348752532228,0.6302231448112441,0.3784348752532228
0.05,0.95,0.5,478,395,83,0.20682714537413555,0.8476513818678669,0.20682714537413555
0.05,0.95,0.55,478,395,83,0.2404750786241364,0.8022460526618426,0.2404750786241364
0.05,0.95,0.6,480,397,83,0.2558216796681552,1.0338898269054115,0.2558216796681552
0.05,0.975,0.4,421,351,70,0.1490939867388445,0.5045593911256007,0.1490939867388445
0.05,0.975,0.45,418,349,69,0.2614833440864657,0.8054088473130573,0.2614833440864657
0.05,0.975,0.5,421,351,70,0.10386200828022113,0.9708261476729657,0.10386200828022113
0.05,0.975,0.55,420,350,70,0.07526519990387802,0.9461159353583282,0.07526519990387802
0.05,0.975,0.6,422,352,70,0.013219724826916327,1.0262221444137605,0.013219724826916327
0.05,0.99,0.4,389,325,64,0.13820501132989121,0.4160781330989153,0.13820501132989121
0.05,0.99,0.45,386,323,63,0.27167071372886964,0.7034442843685759,0.27167071372886964
0.05,0.99,0.5,389,325,64,0.13098510095365767,0.95867550414862,0.13098510095365767
0.05,0.99,0.55,388,324,64,0.10177774442513231,1.1399406765648772,0.10177774442513231
0.05,0.99,0.6,389,325,64,0.016734791809270136,1.2349707623691228,0.016734791809270136
0.08,0.7,0.4,910,768,142,0.5652413723458589,0.9424817572789935,0.5652413723458589
0.08,0.7,0.45,918,774,144,0.5710783308909001,1.0680350469218385,0.5710783308909001
0.08,0.7,0.5,929,783,146,0.402009638062682,1.2260426545288146,0.402009638062682
0.08,0.7,0.55,944,795,149,0.42452954281128846,1.1890137002603671,0.42452954281128846
0.08,0.7,0.6,966,813,153,0.421725596070071,0.9986799374025513,0.421725596070071
0.08,0.8,0.4,786,658,128,0.5797851979025175,0.23714815285390464,0.23714815285390464
0.08,0.8,0.45,789,660,129,0.5765541477143098,0.40195987091212176,0.40195987091212176
0.08,0.8,0.5,799,668,131,0.45549977163392136,0.6913499205913506,0.45549977163392136
0.08,0.8,0.55,805,673,132,0.5393651918644428,0.5922633967916332,0.5393651918644428
0.08,0.8,0.6,813,680,133,0.51664316692539,0.8290607791735837,0.51664316692539
0.08,0.9,0.4,632,528,104,0.41543269337752786,0.8953769558594857,0.41543269337752786
0.08,0.9,0.45,631,527,104,0.546901620024583,1.1015986194729253,0.546901620024583
0.08,0.9,0.5,633,528,105,0.40089422337976877,1.253757371430573,0.40089422337976877
0.08,0.9,0.55,635,530,105,0.311048814476058,1.2567675570378913,0.311048814476058
0.08,0.9,0.6,634,529,105,0.3433274653605492,1.4252848795839324,0.3433274653605492
0.08,0.92,0.4,602,499,103,0.3409248267609578,0.7490398638780263,0.3409248267609578
0.08,0.92,0.45,602,499,103,0.42787754067877787,0.9590689093243974,0.42787754067877787
0.08,0.92,0.5,602,498,104,0.2816542910744788,1.1119937863334264,0.2816542910744788
0.08,0.92,0.55,602,498,104,0.2512170259278456,1.1171792703534977,0.2512170259278456
0.08,0.92,0.6,602,498,104,0.2643747895944796,1.2929085256667092,0.2643747895944796
0.08,0.95,0.4,545,451,94,0.32596850877237377,0.19321932548249382,0.19321932548249382
