low_q,high_q,mid_q,adx_threshold,atr_stop_multiple,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.01,0.7,0.4,20.0,6.0,500,750,150,920,787,133,-0.0072343461518405835,-0.8194576126595212,-0.8194576126595212
0.01,0.7,0.4,20.0,6.0,500,750,300,717,612,105,0.09013013122464705,-1.376959480173345,-1.376959480173345
0.01,0.7,0.4,20.0,6.0,500,1500,150,808,689,119,-0.10311873595452353,0.14070187075981785,-0.10311873595452353
0.01,0.7,0.4,20.0,6.0,500,1500,300,632,540,92,0.026988887085305027,0.6703980084452952,0.026988887085305027
0.01,0.7,0.4,20.0,6.0,500,2500,150,738,625,113,-0.07621030835629254,-0.49873760302016484,-0.49873760302016484
0.01,0.7,0.4,20.0,6.0,500,2500,300,565,473,92,0.11165229288935476,-0.0041347158934761565,-0.0041347158934761565
0.01,0.7,0.4,20.0,10.0,100,750,150,1141,968,173,0.47583620835941737,1.133076560564693,0.47583620835941737
0.01,0.7,0.4,20.0,10.0,100,750,300,1060,894,166,0.44376955921357814,1.1085724331841023,0.44376955921357814
0.01,0.7,0.4,20.0,10.0,100,1500,150,1036,879,157,-0.06317438546231935,1.5880558603455328,-0.06317438546231935
0.01,0.7,0.4,20.0,10.0,100,1500,300,948,799,149,0.08865357121213614,1.2986310976084572,0.08865357121213614
0.01,0.7,0.4,20.0,10.0,100,2500,150,983,838,145,0.17223547422074886,1.508518584077683,0.17223547422074886
0.01,0.7,0.4,20.0,10.0,100,2500,300,878,741,137,0.287014705324483,1.2413720553142877,0.287014705324483
0.01,0.7,0.4,20.0,10.0,200,750,150,881,751,130,0.34080160749694705,0.9250809236075168,0.34080160749694705
0.01,0.7,0.4,20.0,10.0,200,750,300,752,637,115,0.3441150738768449,0.7181753401281399,0.3441150738768449
0.01,0.7,0.4,20.0,10.0,200,1500,150,794,683,111,0.21175013965268188,1.0846263837550418,0.21175013965268188
0.01,0.7,0.4,20.0,10.0,200,1500,300,671,574,97,0.5169547134932536,1.0780712247123652,0.5169547134932536
0.01,0.7,0.4,20.0,10.0,200,2500,150,746,639,107,0.11728522676494905,0.7933602750078941,0.11728522676494905
0.01,0.7,0.4,20.0,10.0,200,2500,300,612,519,93,0.39632377771347677,1.2442160229702381,0.39632377771347677
0.01,0.7,0.4,20.0,10.0,400,750,150,831,704,127,-0.10104895301740549,-0.2954487561064254,-0.2954487561064254
0.01,0.7,0.4,20.0,10.0,400,750,300,632,532,100,0.28726947269388325,-0.566380201739021,-0.566380201739021
0.01,0.7,0.4,20.0,10.0,400,1500,150,739,632,107,0.4037157569079311,0.6594168766816156,0.4037157569079311
0.01,0.7,0.4,20.0,10.0,400,1500,300,547,466,81,0.6351645278748804,1.2504501765556908,0.6351645278748804
0.01,0.7,0.4,20.0,10.0,400,2500,150,682,579,103,0.27193616910364177,-0.08512236549012889,-0.08512236549012889
0.01,0.7,0.4,20.0,10.0,400,2500,300,498,417,81,0.4045627943939068,0.5825644886388323,0.4045627943939068
0.01,0.7,0.4,20.0,10.0,500,750,150,834,715,119,0.1516258257939373,-0.6649274075215164,-0.6649274075215164
0.01,0.7,0.4,20.0,10.0,500,750,300,617,527,90,0.42316870908836063,-1.3892203340808058,-1.3892203340808058
0.01,0.7,0.4,20.0,10.0,500,1500,150,732,627,105,-0.06444517117030443,0.5229758407308484,-0.06444517117030443
0.01,0.7,0.4,20.0,10.0,500,1500,300,527,453,74,0.2435544564055051,0.564570650580435,0.2435544564055051
0.01,0.7,0.4,20.0,10.0,500,2500,150,664,567,97,-0.19737675975427443,0.2787277121141711,-0.19737675975427443
0.01,0.7,0.4,20.0,10.0,500,2500,300,474,401,73,0.04365027661502182,0.36331463464285646,0.04365027661502182
0.01,0.7,0.4,20.0,15.0,100,750,150,1127,956,171,0.6727406145488588,0.9499464805218328,0.6727406145488588
0.01,0.7,0.4,20.0,15.0,100,750,300,1038,875,163,0.5949431739163649,0.9521331658977241,0.5949431739163649
0.01,0.7,0.4,20.0,15.0,100,1500,150,1020,865,155,0.1371977115268191,1.3577571421962065,0.1371977115268191
0.01,0.7,0.4,20.0,15.0,100,1500,300,928,783,145,0.20906019223726927,1.0758861691237354,0.20906019223726927
0.01,0.7,0.4,20.0,15.0,100,2500,150,961,818,143,0.2950771429847547,1.458162063963357,0.2950771429847547
0.01,0.7,0.4,20.0,15.0,100,2500,300,849,716,133,0.46554078798542126,1.3508904722090078,0.46554078798542126
0.01,0.7,0.4,20.0,15.0,200,750,150,861,734,127,0.21810933970755192,1.0041218487413808,0.21810933970755192
0.01,0.7,0.4,20.0,15.0,200,750,300,721,610,111,0.25643865384504827,1.0321338358278773,0.25643865384504827
0.01,0.7,0.4,20.0,15.0,200,1500,150,769,662,107,0.13669882488518162,1.1316020172336207,0.13669882488518162
